species;substances;substancess_reference;family;family_reference
Lecanora swartzii;atranorin, chloroatranorin, eugenitol, roccellic acid, sordidone;lias;Lecanoraceae;gbif
Lecanora swartzii;arthothelin;lias;Lecanoraceae;gbif
Lecanora symmicta;thiophanic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora symmicta;thiophanic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora tenera;atranorin, chloroatranorin, norstictic acid, stictic acid, unknown/unidentified compound(s);lias;Ramalinaceae;gbif
Lecanora tjibodasensis;2,7-dichloronorlichexanthone, 4,5-dichloronorlichexanthone, 4,7-dichloronorlichexanthone, arthothelin, atranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora tolypodes;usnic, usnic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora toroyensis;2'-o-methylperlatolic acid, 2-o-methylstenosporic acid, atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora tropica;3-o-methylthiophanic acid, atranorin, chloroatranorin, chodatin, demethylchodatin, thiophanic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora ulrikii;2,5-dichloronorlichexanthone, 2,7-dichloronorlichexanthone, atranorin, chloroatranorin, isoarthothelin, usnic acid;lias;Lecanoraceae;gbif
Lecanora umbrosa;atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecanora umbrosa;atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecanora vainioi;6α-acetoxyhopane-16β,22-diol, atranorin, chloroatranorin, dehydroconstipatic acid, epanorin, lichesterinic acid, protodehydroconstipatic acid, protolichesterinic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecanora valesiaca;usnic;italic;Lecanoraceae;gbif
Lecanora valesiaca;roccellic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora varia;2'-o-demethylpsoromic acid, psoromic acid, usnic acid;lias;Lecanoraceae;gbif
Lecanora variolascens;atranorin, psoromic acid, zeorin;italic;Lecanoraceae;gbif
Lecanora verrucariicola;unknown/unidentified compound(s);lias;Lecanoraceae;gbif
Lecanora viridiatra;usnic, usnic acid;italic;Lecanoraceae;gbif
Lecanora viriduloflava;atranorin, chloroatranorin, gangaleoidin;lias;Lecanoraceae;gbif
Lecanora vocontia;usnic, zeorin;italic;Lecanoraceae;gbif
Lecanora weberi;allo-pertusaric acid, constipatic acid, dehydroconstipatic acid, dihydropertusaric acid, protoconstipatic acid;lias;Lecanoraceae;gbif
Lecanora weii;atranorin, unknown/unidentified compound(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora wetmorei;unknown/unidentified xanthone(s);lias;Lecanoraceae;gbif
Lecanora wilsonii;atranorin, chloroatranorin, unknown/unidentified fatty acid(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora wilsonii;2,4-dichloronorlichexanthone, 2,5-dichloronorlichexanthone, arthothelin, atranorin, chloroatranorin, thiophanic acid, unknown/unidentified fatty acid(s), usnic acid;lias;Lecanoraceae;gbif
Lecanora xanthoplumosa;atranorin, chloroatranorin, chodatin, demethylchodatin;lias;Lecanoraceae;gbif
Lecanora xanthoplumosella;2'-o-methylperlatolic acid, 5-chloro-2'-o-methylanziaic acid, arthothelin, atranorin, chloroatranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecanora xanthosora;arthothelin, isoarthothelin, thiophanic acid, unknown/unidentified compound(s);lias;Lecanoraceae;gbif
Lecanoropsis pseudosarcopidoides;isousnic acid;italic;Lecanoraceae;gbif
Lecanoropsis quercicola;isousnic acid;italic;Lecanoraceae;gbif
Lecanoropsis saligna;usnic;italic;Lecanoraceae;gbif
Lecanoropsis saligna;usnic;italic;Lecanoraceae;gbif
Lecanoropsis sarcopidoides;placodiolic acid, pseudoplacodiolic acid, usnic, usnic acid;italic;Lecanoraceae;gbif
Lecanoropsis subintricata;usnic;italic;Lecanoraceae;gbif
Lecanoropsis subravida;usnic;italic;Lecanoraceae;gbif
Lecanoropsis subsaligna;7-o-methylnorascomatic acid, isousnic acid;italic;Lecanoraceae;gbif
Lecidea atrobrunnea;confluentic acid, o-methylperlatolic acid;italic;Lecideaceae;gbif
Lecidea atrobrunnea;stictic acid;italic;Lecideaceae;gbif
Lecidea atrobrunnea;o-methylplanaic acid;italic;Lecideaceae;gbif
Lecidea atrobrunnea;porphyrilic acid;italic;Lecideaceae;gbif
Lecidea atrobrunnea;2'-o-methylperlatolic acid, confluentic acid, stictic acid;lias;Lecideaceae;gbif
Lecidea atrofulva;atranorin, cryptostictic acid, norstictic acid, stictic acid;lias;Lecanoraceae;gbif
Lecidea auriculata;0-methylanziaic acid, 2-0-methylconfluentic acid, confluentic acid, glomelliferic acid;italic;Lecideaceae;gbif
Lecidea auriculata;0-methylanziaic acid, 2-0-methylconfluentic acid, confluentic acid, glomelliferic acid;italic;Lecideaceae;gbif
Lecidea auriculata;confluentic acid;lias;Lecideaceae;gbif
Lecidea botryosa;perlatolic acid;lias;Stereocaulaceae;gbif
Lecidea broadoana;unknown/unidentified pigment(s);lias;Lecideaceae;gbif
Lecidea caesioatra;atranorin, sphaerophorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecidea cancriformis;norstictic acid;lias;Lecideaceae;gbif
Lecidea capensis;2'-o-methylperlatolic acid, confluentic acid;lias;Lecideaceae;gbif
Lecidea carrollii;atranorin;lias;Lecanoraceae;gbif
Lecidea cinerata;lecanoric acid, schizopeltic acid;lias;Lecideaceae;gbif
Lecidea circinarioides;unknown/unidentified compound(s);lias;Lecideaceae;gbif
Lecidea confluens;0-methylperlatolic acid, confluentic acid;italic;Lecideaceae;gbif
Lecidea confluens;confluentic acid;lias;Lecideaceae;gbif
Lecidea coriacea;secalonic acid;italic;Lecideaceae;gbif
Lecidea diducens;0-methylanziaic acid, confluentic acid;italic;Lecideaceae;gbif
Lecidea diducens;2'-o-methylanziaic acid;lias;Lecideaceae;gbif
Lecidea ecrustacea;norstictic acid;lias;Lecideaceae;gbif
Lecidea fuscoatra;gyrophoric acid;italic;Lecideaceae;gbif
Lecidea fuscoatra;gyrophoric acid;lias;Lecideaceae;gbif
Lecidea fuscoatrina;2-o-methylconfluentic acid, confluentic acid;lias;Lecideaceae;gbif
Lecidea fuscoatrula;2'-o-methylmicrophyllinic acid, 2'-o-methylperlatolic acid, confluentic acid, norstictic acid, stictic acid;lias;Lecideaceae;gbif
Lecidea grisella;gyrophoric acid;italic;Lecideaceae;gbif
Lecidea grummannii;gyrophoric acid;italic;Lecideaceae;gbif
Lecidea gypsicola;gyrophoric acid;italic;Lecideaceae;gbif
Lecidea gypsicola;gyrophoric acid, lecanoric acid, unknown/unidentified compound(s);lias;Lecideaceae;gbif
Lecidea hassei;planaic acid, stictic acid;lias;Lecideaceae;gbif
Lecidea hercynica;atranorin, protocetraric acid;lias;Lecideaceae;gbif
Lecidea inops;perlatolic acid, unknown/unidentified compound(s);lias;Lecideaceae;gbif
Lecidea laboriosa;4-o-demethylplanaic acid;italic;Lecideaceae;gbif
Lecidea laboriosa;4-o-demethylplanaic acid, planaic acid;lias;Lecideaceae;gbif
Lecidea lapicida;stictic acid;italic;Lecideaceae;gbif
Lecidea lapicida;norstictic acid;italic;Lecideaceae;gbif
Lecidea lapicida;norstictic acid, stictic acid;lias;Lecideaceae;gbif
Lecidea lapicida;norstictic acid;lias;Lecideaceae;gbif
Lecidea leprarioides;pseudoplacodiolic acid;italic;Lecideaceae;gbif
Lecidea leprosolimbata;norstictic acid;italic;Lecideaceae;gbif
Lecidea leprosula;unknown/unidentified fatty acid(s);lias;;gbif
Lecidea leucothallina;pannarin;italic;Lecideaceae;gbif
Lecidea limosa;pannarin;lias;Psoraceae;gbif
Lecidea lithophila;4-0-demethylp1anaic acid, planaic acid;italic;Lecideaceae;gbif
Lecidea lithophila;4-o-demethylplanaic acid;lias;Lecideaceae;gbif
Lecidea lygomma;constictic acid, stictic acid;lias;Lecideaceae;gbif
Lecidea mannii;confluentic acid, schizopeltic acid;lias;Lecideaceae;gbif
Lecidea meiocarpa;2,5,7-trichloro-3-o-methylnorlichexanthone, 3-o-methylasemone, 5,7-dichloronorlichexanthone;lias;Ramalinaceae;gbif
Lecidea nylanderi;divaricatic acid;italic;Lecideaceae;gbif
Lecidea nylanderi;divaricatic acid;lias;Lecideaceae;gbif
Lecidea ochroleuca;gyrophoric acid, lecanoric acid;lias;Lecideaceae;gbif
Lecidea paratropoides;confluentic acid;italic;Lecideaceae;gbif
Lecidea paupercula;stictic acid;lias;Lecideaceae;gbif
Lecidea phaeops;atranorin, psoromic acid;lias;Lecideaceae;gbif
Lecidea plana;planaic acid;italic;Lecideaceae;gbif
Lecidea plana;4-o-demethylplanaic acid, planaic acid;lias;Lecideaceae;gbif
Lecidea polytrichina;2'-o-demethylpsoromic acid, atranorin, psoromic acid, usnic acid;lias;Lecideaceae;gbif
Lecidea polytrichinella;alectorialic acid;italic;Lecideaceae;gbif
Lecidea polytrichinella;alectorialic acid, barbatolic acid;lias;Lecideaceae;gbif
Lecidea promiscens;0-methylperlatolic acid;italic;Lecideaceae;gbif
Lecidea promiscens;2'-o-methylmicrophyllinic acid, 2'-o-methylperlatolic acid, confluentic acid;lias;Lecideaceae;gbif
Lecidea promiscua;0-methylperlatolic acid;italic;Lecideaceae;gbif
Lecidea pullata;isosphaeric acid, sphaerophorin;lias;Lecanoraceae;gbif
Lecidea rapax;norstictic acid;italic;Lecideaceae;gbif
Lecidea rufofusca;2,5,7-trichloro-3-o-methylnorlichexanthone, unknown/unidentified xanthone(s);lias;;gbif
Lecidea sauteri;confluentic acid;italic;Lecideaceae;gbif
Lecidea scabridisca;norstictic acid, stictic acid;lias;Lecideaceae;gbif
Lecidea siderolithica;gyrophoric acid;italic;Lecideaceae;gbif
Lecidea siderolithica;gyrophoric acid;lias;Lecideaceae;gbif
Lecidea silacea;norstictic acid, porphyrilic acid, stictic acid;lias;Lecideaceae;gbif
Lecidea speirodes;o-methylanziaic acid;italic;Lecideaceae;gbif
Lecidea sudetica;norstictic acid;italic;Lecideaceae;gbif
Lecidea swartzioidea;norstictic acid;lias;Lecideaceae;gbif
Lecidea terrena;2'-o-methylmicrophyllinic acid, 2'-o-methylnorsuperphyllinic acid, confluentic acid;lias;Lecideaceae;gbif
Lecidea tessellata;confluentic acid;italic;Lecideaceae;gbif
Lecidea tessellata;0-methylperlatolic acid, confluentic acid;italic;Lecideaceae;gbif
Lecidea tessellata;2'-o-methylmicrophyllinic acid, 2'-o-methylperlatolic acid, confluentic acid, hyperconfluentic acid, norstictic acid, porphyrilic acid;lias;Lecideaceae;gbif
Lecidea tragorum;2'-o-methylmicrophyllinic acid, confluentic acid;lias;Lecideaceae;gbif
Lecidea verruca;confluentic acid;italic;Lecideaceae;gbif
Lecidella alba;aotearon, atranorin, capistraton;lias;Lecanoraceae;gbif
Lecidella albida;atranorin, thiophanic acid;italic;Lecanoraceae;gbif
Lecidella anomaloides;atranorin;italic;Lecanoraceae;gbif
Lecidella anomaloides;atranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecidella asema;atranorin, chloroatranorin, thiophanic acid;italic;Lecanoraceae;gbif
Lecidella asema;atranorin, thiophanic acid, thiophaninic acid;italic;Lecanoraceae;gbif
Lecidella asema;4,5,7-trichloronorlichexanthone (asemone), atranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecidella buelliastrum;4,5,7-trichlorolichexanthone, atranorin, caloploicin, diploicin, thiophanic acid;lias;Lecanoraceae;gbif
Lecidella bullata;2'-o-demethylpsoromic acid, atranorin, psoromic acid, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecidella carpathica;atranorin;italic;Lecanoraceae;gbif
Lecidella carpathica;atranorin, diploicin, thuringione;lias;Lecanoraceae;gbif
Lecidella destituta;atranorin, chloroatranorin;lias;Lecanoraceae;gbif
Lecidella effugiens;3-o-methylthiophanic acid, atranorin, chloroatranorin;italic;Lecanoraceae;gbif
Lecidella effugiens;aotearon, atranorin, thiophanic acid;lias;Lecanoraceae;gbif
Lecidella elaeochroma;atranorin;italic;Lecanoraceae;gbif
Lecidella elaeochroma;atranorin;italic;Lecanoraceae;gbif
Lecidella elaeochroma;2,4-dichlorolichexanthone, 2,5,7-trichloro-3-o-methylnorlichexanthone, 2,5-dichlorolichexanthone, 4,5-dichloro-3-o-methylnorlichexanthone, 5,7-dichloro-3-o-methylnorlichexanthone, arthothelin, atranorin, diploicin, granulosin, isoarthothelin, lichexanthone, thiophanic acid, thuringione;lias;Lecanoraceae;gbif
Lecidella elaeochroma;4,5-dichloronorlichexanthone, arthothelin, capistraton, granulosin, lichexanthone, thiophanic acid;lias;Lecanoraceae;gbif
Lecidella elaeochromoides;arthothelin, atranorin, thuringione;lias;Lecanoraceae;gbif
Lecidella enteroleucella;arthothelin, atranorin, thuringione;lias;Lecanoraceae;gbif
Lecidella euphorea;3-o-methylthiophanic acid, atranorin;italic;Lecanoraceae;gbif
Lecidella flavosorediata;arthothelin, lichexanthone;lias;Lecanoraceae;gbif
Lecidella flavovirens;4,5,7-trichloronorlichexanthone (asemone), 4,5-dichloronorlichexanthone, 5,7-dichloronorlichexanthone, argopsin, arthothelin, atranorin, norlichexanthone, thiophanic acid;lias;Lecanoraceae;gbif
Lecidella granulosula;2,4-dichloronorlichexanthone, 2,5,7-trichloro-3-o-methylnorlichexanthone, 2,5,7-trichlorolichexanthone, 5,7-dichloro-3-o-methylnorlichexanthone, chodatin, demethylchodatin, isoarthothelin, thiophanic acid, thiophaninic acid;lias;Lecanoraceae;gbif
Lecidella greenii;stictic acid;lias;Lecanoraceae;gbif
Lecidella montana;2,5,7-trichloro-3-o-methylnorlichexanthone, 4,5,7-trichloronorlichexanthone (asemone), isoarthothelin, thiophanic acid;lias;Lecanoraceae;gbif
Lecidella oceanica;atranorin, capistraton, isoarthothelin, thiophanic acid;lias;Lecanoraceae;gbif
Lecidella patavina;atranorin, zeorin;italic;Lecanoraceae;gbif
Lecidella patavina;atranorin, lichexanthone, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecidella pulveracea;unknown/unidentified xanthone(s);lias;Lecanoraceae;gbif
Lecidella scabra;atranorin, chloroatranorin, thiophanic acid;italic;Lecanoraceae;gbif
Lecidella scabra;arthothelin, atranorin, thuringione;lias;Lecanoraceae;gbif
Lecidella stigmatea;atranorin, zeorin;italic;Lecanoraceae;gbif
Lecidella stigmatea;atranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Lecidella sublapidica;2,5,7-trichloro-3-o-methylnorlichexanthone, 2,5,7-trichlorolichexanthone, 3-o-methylasemone, 3-o-methylthiophanic acid, 5,7-dichlorolichexanthone, arthothelin, isoarthothelin, thiophanic acid, vicanicin, vicanicin methyl ether;lias;Lecanoraceae;gbif
Lecidella subviridis;atranorin;italic;Lecanoraceae;gbif
Lecidella umbrosa;atranorin;italic;Lecanoraceae;gbif
Lecidella viridans;arthothelin, thiophanic acid, thuringione;lias;Lecanoraceae;gbif
Lecidella vorax;thiophanic acid;italic;Lecanoraceae;gbif
Lecidella wulfenii;atranorin;italic;Lecanoraceae;gbif
Lecidella xylogena;2,4-dichloronorlichexanthone, 2,5,7-trichloro-3-o-methylnorlichexanthone, 4,5,7-trichloronorlichexanthone (asemone), isoarthothelin, isopigmentosin b, isopigmentosin c, thiophanic acid, thiophaninic acid, usnic acid;lias;Lecanoraceae;gbif
Lecidella xylophila;atranorin;italic;Lecanoraceae;gbif
Leioderma sorediatum;atranorin, skyrin (rhodophyscin), unknown/unidentified pigment(s), ursolic acid;lias;Pannariaceae;gbif
Leiorreuma melanostalazans;stictic acid;lias;Graphidaceae;gbif
Leiorreuma patellulum;connorstictic acid, norstictic acid;lias;Graphidaceae;gbif
Lendemeriella exsecuta;emodin, fallacinal, fragilin, parietin, parietinic acid;italic;Teloschistaceae;gbif
Lendemeriella nivalis;emodin, fallacinal, parietin, parietinic acid, teloschistin;italic;Teloschistaceae;gbif
Lepra amara;picrolichenic acid;italic;Pertusariaceae;gbif
Lepra amara;picrolichenic acid;italic;Pertusariaceae;gbif
Lepra aspergilla;fumarprotocetraric acid, succinprotocetraric acid;italic;Pertusariaceae;gbif
Lepra corallina;thamnolic acid;italic;Pertusariaceae;gbif
Lepra dactylina;fumarprotocetraric acid;italic;Pertusariaceae;gbif
Lepra excludens;norstictic acid, salazinic acid;italic;Pertusariaceae;gbif
Lepra graeca;fumarprotocetraric acid;italic;Pertusariaceae;gbif
Lepra leucosora;protocetraric acid, succinprotocetraric acid;italic;Pertusariaceae;gbif
Lepra mammosa;fumarprotocetraric acid;italic;Pertusariaceae;gbif
Lepra monogona;norstictic acid;italic;Pertusariaceae;gbif
Lepra multipuncta;physodalic acid, protocetraric acid;italic;Pertusariaceae;gbif
Lepra pulvinata;picrolichenic acid;italic;Pertusariaceae;gbif
Lepra trachythallina;thamnolic acid;italic;Pertusariaceae;gbif
Lepraria achariana;angardianic acid, lecanoric acid, roccellic acid, unknown/unidentified anthraquinone(s);lias;Stereocaulaceae;gbif
Lepraria adhaerens;dechloropannarin, hypopannarin, norpannarin, pannarin, zeorin (hopane-6α,22-diol);lias;Leprocaulaceae;gbif
Lepraria alpina;atranorin, porphyrilic acid;italic;Stereocaulaceae;gbif
Lepraria alpina;angardianic acid, atranorin, porphyrilic acid, rangiformic acid, roccellic acid;lias;Stereocaulaceae;gbif
Lepraria atlantica;angardianic acid, atranorin, porphyrilic acid, rangiformic acid;italic;Stereocaulaceae;gbif
Lepraria atlantica;angardianic acid, atranorin, jackinic acid, norjackinic acid, norrangiformic acid, porphyrilic acid, rangiformic acid, roccellic acid, unknown/unidentified anthraquinone(s);lias;Stereocaulaceae;gbif
Lepraria atrotomentosa;atranorin, lecanoric acid, unknown/unidentified fatty acid(s), zeorin (hopane-6α,22-diol);lias;Stereocaulaceae;gbif
Lepraria aurescens;thamnolic acid;lias;Stereocaulaceae;gbif
Lepraria bergensis;atranorin, rangiformic acid;italic;Stereocaulaceae;gbif
Lepraria bergensis;7-chloroemodin, a01-anthrone, atranorin, emodin, fragilin, norrangiformic acid, parietin, rangiformic acid;lias;Stereocaulaceae;gbif
Lepraria borealis;atranorin, norrangiformic acid, rangiformic acid;italic;Stereocaulaceae;gbif
Lepraria borealis;angardianic acid, atranorin, norrangiformic acid, rangiformic acid, roccellic acid;lias;Stereocaulaceae;gbif
Lepraria brasiliensis;atranorin, decarboxythamnolic acid, thamnolic acid, unknown/unidentified compound(s);lias;Stereocaulaceae;gbif
Lepraria caesiella;angardianic acid, atranorin, roccellic acid, zeorin (hopane-6α,22-diol);lias;Stereocaulaceae;gbif
Lepraria caesioalba;atranorin;italic;Stereocaulaceae;gbif
Lepraria caesioalba;angardianic acid, atranorin, conpsoromic acid, constictic acid, cryptostictic acid, fumarprotocetraric acid, protocetraric acid, psoromic acid, rangiformic acid, roccellic acid, stictic acid;lias;Stereocaulaceae;gbif
Lepraria celata;angardianic acid, atranorin, roccellic acid;lias;Stereocaulaceae;gbif
Lepraria coriensis;argopsin, atranorin, caloploicin, dehydroconstipatic acid, fulgidin, isousnic acid, norargopsin, protodehydroconstipatic acid, usnic acid, zeorin (hopane-6α,22-diol);lias;Leprocaulaceae;gbif
Lepraria crassissima;divaricatic acid, nordivaricatic acid, zeorin;italic;Stereocaulaceae;gbif
Lepraria crassissima;divaricatic acid, nordivaricatic acid, zeorin (hopane-6α,22-diol);lias;Stereocaulaceae;gbif
Lepraria cupressicola;atranorin, gyrophoric acid, jackinic acid, lecanoric acid, rangiformic acid, zeorin (hopane-6α,22-diol);lias;Stereocaulaceae;gbif
Lepraria dibenzofuranica;3,7-di-o-methylstrepsilin, 3-o-methylstrepsilin, 7-chloroemodin, 7-o-methylstrepsilin, atranorin, flavo-obscurin c, fragilin, jackinic acid, norjackinic acid, norrangiformic acid, rangiformic acid, strepsilin, usnic acid;lias;Stereocaulaceae;gbif
Lepraria diffusa;4-oxypannaric acid, pannaric acid;italic;Stereocaulaceae;gbif
Lepraria eburnea;alectorialic acid;italic;Stereocaulaceae;gbif
Lepraria eburnea;2'-o-demethylpsoromic acid, 5,7-dihydroxy-6-methylphthalide, alectorialic acid, angardianic acid, atranorin, barbatolic acid, protocetraric acid, psoromic acid, roccellic acid;lias;Stereocaulaceae;gbif
Lepraria ecorticata;atranorin, porphyrilic acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), unknown/unidentified fatty acid(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Ramalinaceae;gbif
Lepraria elobata;atranorin;italic;Stereocaulaceae;gbif
Lepraria elobata;atranorin, constictic acid, cryptostictic acid, stictic acid, unknown/unidentified fatty acid(s), zeorin (hopane-6α,22-diol);lias;Stereocaulaceae;gbif
Lepraria finkii;atranorin, zeorin;italic;Stereocaulaceae;gbif
Lepraria flavescens;atranorin, eugenitol, sordidone;lias;Lecanoraceae;gbif
Lepraria friabilis;confumarprotocetraric acid, fumarprotocetraric acid, protocetraric acid, succinprotocetraric acid;lias;Stereocaulaceae;gbif
